symbol	old_symbol
ACTR1A	ARP1
ACTR1A	Arp1A
ACTR1AP1	
ACTR1B	Arp1B
ACTR1B	CTRN2
ACTR2	ARP2
ACTR3	ARP3
ACTR3-AS1	AC104653.1
ACTR3B	ARP11
ACTR3B	ARP3beta
ACTR3BP1	
ACTR3BP2	FKSG73
ACTR3BP3	
ACTR3BP4	
ACTR3BP5	
ACTR3BP6	
ACTR3BP7	
ACTR3C	ARP11
ACTR3P1	
ACTR3P2	
ACTR3P3	
ACTR5	FLJ12785
ACTR5	Arp5
ACTR5	INO80M
ACTR6	ARP6
ACTR6	FLJ13433
ACTR6P1	
ACTR8	INO80N
ACTR8	ARP8
ACTRT1	AIP1
ACTRT1	KIAA0705
ACTRT1	ARIP1
ACTRT1	Arp-T1
ACTRT1P1	
ACTRT2	Arp-T2
ACTRT2	ARPM2
ACTRT2	FLJ25424
ACTRT3	ARPM1
ACVR1	SKR1
ACVR1	ALK2
ACVR1	ACVR1A
ACVR1	ACVRLK2
ACVR1B	ALK4
ACVR1B	SKR2
ACVR1B	ActRIB
ACVR1B	ACVRLK4
ACVR1C	ALK7
ACVR1C	ACVRLK7
ACVR2A	ACTRII
ACVR2A	ACVR2
ACVR2B	ActR-IIB
ACVR2B-AS1	
ACVRL1	HHT2
ACVRL1	ALK1
ACVRL1	HHT
ACVRL1	ACVRLK1
ACVRL1	ORW2
ACY1	
ACY3	HCBP1
ACY3	MGC9740
ACY3	ACY-3
ACYP1	
ACYP2	
ADA	ADA1
ADA2	ADGF
ADA2	IDGFL
ADA2	CECR1
ADAD1	Tenr
ADAD1P1	
ADAD1P2	
ADAD2	TENRL
ADAD2	FLJ00337
ADAL	
ADAM10	kuz
ADAM10	MADM
ADAM10	HsT18717
ADAM10	CD156C
ADAM11	MDC
ADAM12	MCMPMltna
ADAM12	MLTN
ADAM15	MDC15
ADAM17	cSVP
ADAM17	CD156B
ADAM17	TACE
ADAM18	tMDCIII
ADAM18	ADAM27
ADAM19	MLTNB
ADAM1A	FTNAP
ADAM1A	PH-30a
ADAM1A	Ftna
ADAM1A	ADAM1P
ADAM1A	ADAM1
ADAM1B	
ADAM2	PH-30b
ADAM2	PH30
ADAM2	CT15
ADAM2	FTNB
ADAM20	
ADAM20P1	C14orf55
ADAM20P2	
ADAM20P3	
ADAM21	ADAM31
ADAM21P1	ADAM21P
ADAM22	MDC2
ADAM23	MDC3
ADAM24P	
ADAM28	eMDCII
ADAM28	MDC-Lm
ADAM28	MDC-Ls
ADAM28	ADAM23
ADAM29	svph1
ADAM29	CT73
ADAM30	svph4
ADAM32	
ADAM33	DKFZp434K0521
ADAM33	dJ964F7.1
ADAM33	C20orf153
ADAM3A	ADAM3
ADAM3A	tMDCI
ADAM3A	CYRN1
ADAM3B	CYRN2
ADAM5	tMDCII
ADAM5	ADAM5P
ADAM6	tMDCIV
ADAM6	C14orf96
ADAM7	GP-83
ADAM7	EAPI
ADAM8	CD156
ADAM8	MS2
ADAM8	CD156A
ADAM9	MDC9
ADAM9	KIAA0021
ADAM9	MCMP
ADAM9	Mltng
ADAM9	CORD9
ADAMDEC1	M12.219
ADAMTS1	C3-C5
ADAMTS1	METH1
ADAMTS1	KIAA1346
ADAMTS10	ADAM-TS10
ADAMTS12	
ADAMTS13	VWFCP
ADAMTS13	TTP
ADAMTS13	vWF-CP
ADAMTS13	FLJ42993
ADAMTS13	MGC118899
ADAMTS13	MGC118900
ADAMTS13	DKFZp434C2322
ADAMTS13	C9orf8
ADAMTS14	
ADAMTS15	
ADAMTS16	ADAMTS16s
ADAMTS17	FLJ32769
ADAMTS17	FLJ16363
ADAMTS18	ADAMTS21
ADAMTS19	
ADAMTS19-AS1	RP11-346A9.1
ADAMTS2	ADAMTS-3
ADAMTS2	hPCPNI
ADAMTS2	PCINP
ADAMTS2	ADAM-TS2
ADAMTS2	NPI
ADAMTS20	GON-1
ADAMTS3	KIAA0366
ADAMTS3	ADAMTS-4
ADAMTS4	KIAA0688
ADAMTS4	ADAMTS-2
ADAMTS4	ADMP-1
ADAMTS5	ADMP-2
ADAMTS5	ADAMTS11
ADAMTS6	ADAM-TS6
ADAMTS7	ADAM-TS7
ADAMTS7	DKFZp434H204
ADAMTS7P1	ADAMTS7P2
ADAMTS7P3	
ADAMTS7P4	
ADAMTS8	METH2
ADAMTS8	FLJ41712
ADAMTS8	ADAM-TS8
ADAMTS9	KIAA1312
ADAMTS9-AS1	
ADAMTS9-AS2	
ADAMTSL1	ADAMTSR1
ADAMTSL1	FLJ35283
ADAMTSL1	C9orf94
ADAMTSL2	KIAA0605
ADAMTSL3	KIAA1233
ADAMTSL3	punctin-2
ADAMTSL4	DKFZP434K1772
ADAMTSL4	TSRC1
ADAMTSL4-AS1	FLJ45786
ADAMTSL4-AS1	C1orf138
ADAMTSL4-AS2	
ADAMTSL5	THSD6
ADAP1	GCS1L
ADAP1	CENTA1
ADAP2	CENTA2
ADAR	ADAR1
ADAR	IFI4
ADAR	G1P1
ADARB1	ADAR2
ADARB1	DRADA2
ADARB1	ADAR2g
ADARB1	DRABA2
ADARB1	RED1
